                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0469,                0.53901,                 1.1652,                0.94607,                0.97462,                0.98206,                0.55976,                 1.7751,                0.57824,                 1.7814,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.0253,                0.54776,                 1.1598,                0.92936,                 0.9746,                  0.975,                0.53653,                 1.8372,                 0.5991,                 2.0062,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0221,                0.51725,                 1.1467,                0.95784,                0.98173,                0.98308,                0.59923,                 1.7115,                0.59851,                 1.7614,               0.001307,               0.001307,               0.001307
                     38,                 1.0127,                0.51753,                 1.1504,                0.98158,                0.98704,                0.97728,                0.58484,                 1.6396,                0.55875,                 1.6176,              0.0012872,              0.0012872,              0.0012872
                     39,                0.98243,                0.50066,                 1.1212,                0.97357,                0.98765,                 0.9906,                0.55019,                 1.7465,                0.57675,                 1.7953,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0233,                0.52075,                 1.1427,                0.96208,                0.96914,                0.97438,                0.56566,                 1.8154,                0.58263,                 1.8496,              0.0012476,              0.0012476,              0.0012476
                     41,                 0.9774,                0.49449,                 1.1247,                0.91419,                0.98649,                0.97622,                0.58349,                 1.8304,                0.60968,                 1.8708,              0.0012278,              0.0012278,              0.0012278
                     42,                0.97005,                0.48246,                 1.1137,                0.94668,                0.98641,                 0.9744,                0.58644,                 1.7534,                0.60206,                 1.8255,               0.001208,               0.001208,               0.001208
                     43,                0.98855,                0.52506,                  1.149,                 0.9575,                0.99383,                0.98659,                0.58258,                 1.8234,                0.60929,                 1.8613,              0.0011882,              0.0011882,              0.0011882
                     44,                0.95669,                0.49546,                 1.1195,                0.92881,                0.97531,                0.96477,                0.58601,                  1.745,                0.57699,                 1.8777,              0.0011684,              0.0011684,              0.0011684
                     45,                 0.9769,                0.49641,                 1.1393,                0.98661,                0.98148,                0.98725,                0.61929,                 1.6458,                0.52564,                 1.7362,              0.0011486,              0.0011486,              0.0011486
                     46,                0.94948,                0.49216,                 1.1194,                0.92404,                0.98765,                0.97923,                0.59369,                 1.7443,                  0.567,                 1.8886,              0.0011288,              0.0011288,              0.0011288
                     47,                0.96693,                0.49586,                 1.1278,                  0.936,                0.99301,                0.97936,                0.59298,                  1.716,                0.56612,                 1.8072,               0.001109,               0.001109,               0.001109
                     48,                  1.005,                0.51369,                 1.1472,                0.94185,                0.99977,                0.98179,                0.59078,                 1.7167,                0.54257,                 1.7721,              0.0010892,              0.0010892,              0.0010892
                     49,                0.94648,                0.47407,                 1.1071,                0.94108,                0.99383,                0.98251,                0.58269,                 1.7204,                 0.5578,                 1.8263,              0.0010694,              0.0010694,              0.0010694
                     50,                0.94138,                 0.4781,                 1.1105,                0.97544,                0.98053,                0.98844,                0.56873,                 1.7726,                0.54949,                 1.8521,              0.0010496,              0.0010496,              0.0010496
                     51,                0.89823,                0.45065,                 1.0851,                0.96862,                0.98148,                0.98891,                0.58349,                 1.7673,                0.58479,                 1.8958,              0.0010298,              0.0010298,              0.0010298
                     52,                  0.906,                0.47559,                 1.0942,                0.98042,                0.98148,                0.99059,                0.58842,                 1.7495,                0.57648,                 1.8092,                0.00101,                0.00101,                0.00101
                     53,                 0.8864,                0.48035,                 1.0883,                0.95753,                0.98765,                0.98347,                0.58931,                 1.7453,                0.53048,                 1.7926,              0.0009902,              0.0009902,              0.0009902
                     54,                0.91553,                 0.4686,                 1.1043,                0.96968,                 0.9872,                0.98737,                0.59754,                 1.6923,                0.54252,                 1.7533,              0.0009704,              0.0009704,              0.0009704
                     55,                0.89881,                0.45905,                 1.0953,                0.97378,                0.98765,                0.99212,                0.60037,                 1.7336,                0.53762,                  1.837,              0.0009506,              0.0009506,              0.0009506
                     56,                0.89022,                0.46608,                 1.0904,                 0.9563,                0.98765,                0.98858,                0.58173,                  1.798,                0.57233,                 1.9223,              0.0009308,              0.0009308,              0.0009308
                     57,                0.87257,                0.44622,                 1.0812,                0.96775,                0.97531,                0.98296,                0.57731,                  1.795,                0.59608,                 1.9326,               0.000911,               0.000911,               0.000911
                     58,                0.87366,                0.44127,                 1.0644,                0.97926,                0.98148,                0.98567,                 0.5959,                 1.7519,                0.53551,                 1.9201,              0.0008912,              0.0008912,              0.0008912
                     59,                0.85823,                0.43506,                 1.0653,                0.95728,                0.98148,                0.98645,                0.56857,                 1.7362,                0.55838,                 1.9237,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.8786,                0.43394,                 1.0869,                0.96282,                0.98148,                0.98659,                0.60422,                 1.7111,                0.56809,                 1.8561,              0.0008516,              0.0008516,              0.0008516
                     61,                0.85286,                0.43632,                 1.0655,                0.96165,                0.96914,                0.97543,                0.58201,                 1.7546,                0.54093,                 1.8694,              0.0008318,              0.0008318,              0.0008318
