                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0845,                0.75735,                  1.263,                0.99008,                0.89474,                0.93733,                0.50169,                  1.671,                 1.1037,                 1.7587,              0.0013466,              0.0013466,              0.0013466
                     36,                0.96843,                0.64486,                 1.1947,                0.92615,                0.78947,                0.83983,                0.53824,                 1.5494,                0.97233,                  1.649,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0132,                0.68605,                 1.2352,                0.88556,                0.89474,                0.88724,                0.54408,                 1.5301,                0.97015,                 1.6736,               0.001307,               0.001307,               0.001307
                     38,                 1.0339,                 0.6962,                 1.2565,                0.80813,                0.88704,                0.91249,                0.52032,                 1.5138,                0.89824,                 1.8444,              0.0012872,              0.0012872,              0.0012872
                     39,                0.94136,                0.56823,                 1.2324,                0.99913,                0.89474,                0.97586,                 0.5775,                 1.4573,                0.86525,                 1.7252,              0.0012674,              0.0012674,              0.0012674
                     40,                0.91667,                0.60533,                 1.1776,                0.95202,                0.78947,                0.95705,                 0.5615,                 1.4393,                0.81321,                 1.6842,              0.0012476,              0.0012476,              0.0012476
                     41,                0.89007,                0.56683,                 1.1697,                0.82375,                0.98441,                0.96364,                 0.5344,                 1.5423,                0.80777,                 1.8808,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0353,                0.64274,                 1.2571,                0.89993,                0.94668,                0.92266,                0.52976,                 1.5876,                0.73877,                 1.7491,               0.001208,               0.001208,               0.001208
                     43,                 1.0132,                0.63537,                 1.2353,                0.99287,                0.94737,                0.99024,                0.52989,                 1.6446,                0.66939,                 1.7154,              0.0011882,              0.0011882,              0.0011882
                     44,                0.89654,                0.53085,                 1.1513,                0.94622,                0.92663,                0.97616,                 0.5314,                 1.5737,                0.82594,                 1.5586,              0.0011684,              0.0011684,              0.0011684
                     45,                0.97428,                0.58342,                 1.1796,                0.85647,                 0.9424,                0.94545,                0.52796,                 1.4898,                0.83644,                 1.4835,              0.0011486,              0.0011486,              0.0011486
                     46,                0.97834,                0.63015,                 1.2086,                0.83213,                0.84211,                 0.8548,                0.49203,                 1.5152,                0.87817,                 1.5044,              0.0011288,              0.0011288,              0.0011288
                     47,                0.89471,                0.58709,                 1.1384,                0.88303,                0.84211,                0.85011,                0.53921,                 1.4184,                0.77886,                 1.4733,               0.001109,               0.001109,               0.001109
                     48,                0.86455,                0.57035,                 1.1231,                0.92382,                0.89474,                0.91216,                0.58568,                 1.4109,                0.86033,                 1.4798,              0.0010892,              0.0010892,              0.0010892
                     49,                0.91173,                 0.5595,                 1.1406,                0.89369,                0.89474,                0.91974,                0.60789,                 1.4194,                0.85549,                 1.4847,              0.0010694,              0.0010694,              0.0010694
